CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
1,1,1,2,4,2,1,88.6,168.8,64.1,48.8,2548,4,4,130,5,3.47,2.68,9,111,5000,21,27,13495
2,1,1,2,1,2,1,94.5,171.2,65.5,52.4,2823,5,6,152,5,2.68,3.47,9,154,5000,19,26,16500
3,1,1,2,4,2,1,88.6,168.8,64.1,48.8,2548,4,4,130,5,3.47,2.68,9,111,5000,21,27,16500
4,1,1,4,2,1,1,99.8,176.6,66.2,54.3,2337,1,4,109,5,3.19,3.4,10,102,5500,24,30,13950
4,1,1,4,2,3,1,99.4,176.6,66.4,54.3,2824,1,5,136,5,3.19,3.4,8,115,5500,18,22,17450
4,1,1,4,2,1,1,105.8,192.7,71.4,55.7,2844,1,5,136,5,3.19,3.4,8.5,110,5500,19,25,17710
5,1,2,4,2,1,1,105.8,192.7,71.4,55.9,3086,1,5,131,5,3.13,3.4,8.3,140,5500,17,20,23875
6,1,1,4,3,1,1,105.8,192.7,71.4,55.7,2954,1,5,136,5,3.19,3.4,8.5,110,5500,19,25,18920
7,1,2,2,1,3,1,99.5,178.2,67.9,52,3053,1,5,131,5,3.13,3.4,7,160,5500,16,22,17859.167
8,1,1,2,2,1,1,99.8,177.3,66.3,53.1,2507,1,5,136,5,3.19,3.4,8.5,110,5500,19,25,15250
9,1,1,2,2,2,1,101.2,176.8,64.8,54.3,2395,1,4,108,5,3.5,2.8,8.8,101,5800,23,29,16430
9,1,1,4,2,2,1,101.2,176.8,64.8,54.3,2395,1,4,108,5,3.5,2.8,8.8,101,5800,23,29,16925
10,1,1,2,2,2,1,101.2,176.8,64.8,54.3,2710,1,6,164,5,3.31,3.19,9,121,4250,21,28,20970
11,1,1,4,2,2,1,101.2,176.8,64.8,54.3,2765,1,6,164,5,3.31,3.19,9,121,4250,21,28,21105
11,1,1,4,2,2,1,110,197,70.9,56.3,3505,1,6,209,5,3.62,3.39,8,182,5400,15,20,36880
12,1,1,4,2,2,1,103.5,189,66.9,55.7,3230,1,6,209,5,3.62,3.39,8,182,5400,16,22,30760
13,1,1,2,2,2,1,103.5,193.8,67.9,53.7,3380,1,6,209,5,3.62,3.39,8,182,5400,16,22,41315
14,1,1,4,2,2,1,103.5,189,66.9,55.7,3055,1,6,164,5,3.31,3.19,9,121,4250,20,25,24565
15,2,2,2,4,2,1,106.7,187.5,70.3,54.9,3495,1,5,183,3,3.58,3.64,21.5,123,4350,22,25,28176
16,2,2,4,3,2,1,110,190.9,70.3,58.7,3750,1,5,183,3,3.58,3.64,21.5,123,4350,22,25,28248
17,1,1,4,2,2,1,120.9,208.1,71.7,56.7,3900,5,8,308,5,3.8,3.35,8,184,4500,14,16,40960
18,2,2,4,2,2,1,110,190.9,70.3,56.5,3515,1,5,183,3,3.58,3.64,21.5,123,4350,22,25,25552
19,1,1,4,2,2,1,115.6,202.6,71.7,56.5,3740,5,8,234,5,3.46,3.1,8.3,155,4750,16,18,34184
20,1,1,2,4,2,1,112,199.2,72,55.4,3715,5,8,304,5,3.8,3.35,8,184,4500,14,16,45400
21,2,2,4,2,2,1,115.6,202.6,71.7,56.3,3770,1,5,183,3,3.58,3.64,21.5,123,4350,22,25,31600
22,1,1,2,4,2,1,96.6,180.3,70.5,50.8,3685,5,8,234,5,3.46,3.1,8.3,155,4750,16,18,35056
23,1,1,2,1,1,1,88.4,141.1,60.3,53.2,1488,3,3,61,2,2.91,3.03,9.5,48,5100,47,53,5151
24,1,1,2,1,1,1,94.5,155.9,63.6,52,1874,1,4,90,2,3.03,3.11,9.6,70,5400,38,43,6295
25,1,1,4,2,1,1,94.5,158.8,63.6,52,1909,1,4,90,2,3.03,3.11,9.6,70,5400,38,43,6575
26,1,1,2,1,1,1,93.7,157.3,63.8,50.8,1876,1,4,90,2,2.97,3.23,9.4,68,5500,31,38,6377
27,1,1,4,2,1,1,93.7,157.3,63.8,50.6,1989,1,4,90,2,2.97,3.23,9.4,68,5500,31,38,7609
28,1,1,4,2,1,1,93.7,157.3,63.8,50.6,1989,1,4,90,2,2.97,3.23,9.4,68,5500,31,38,6692
29,1,2,2,2,1,1,93.7,157.3,63.8,50.6,2191,1,4,98,5,3.03,3.39,7.6,102,5500,24,30,8558
30,1,2,2,1,1,1,95.9,173.2,66.3,50.2,2811,1,4,156,8,3.6,3.9,7,145,5000,19,24,12964
31,1,2,2,1,1,1,93.7,157.3,63.8,50.8,2128,1,4,98,5,3.03,3.39,7.6,102,5500,24,30,7957
32,1,1,4,3,1,1,103.3,174.6,64.6,59.8,2535,1,4,122,2,3.34,3.46,8.5,88,5000,24,30,8921
33,1,1,4,1,1,1,93.7,157.3,63.8,50.6,1967,1,4,90,2,2.97,3.23,9.4,68,5500,31,38,6229
34,1,1,2,1,1,1,93.7,157.3,63.8,50.8,1876,1,4,90,2,2.97,3.23,9.41,68,5500,37,41,5572
35,1,1,2,1,1,1,96.5,167.5,65.2,53.3,2236,1,4,110,1,3.15,3.58,9,86,5800,27,33,7895
35,1,1,4,2,1,1,96.5,175.4,62.5,54.1,2372,1,4,110,1,3.15,3.58,9,86,5800,27,33,10295
36,1,1,2,1,1,1,93.7,150,64,52.6,1940,1,4,92,1,2.91,3.41,9.2,76,6000,30,34,6529
37,1,1,4,2,1,1,96.5,163.4,64,54.5,2010,1,4,92,1,2.91,3.41,9.2,76,6000,30,34,7295
38,1,1,2,1,1,1,93.7,150,64,52.6,1837,1,4,79,1,2.91,3.07,10.1,60,5500,38,42,5399
38,1,1,2,1,1,1,86.6,144.6,63.9,50.8,1713,1,4,92,1,2.91,3.41,9.6,58,4800,49,54,6479
38,1,1,4,2,1,1,96.5,175.4,65.2,54.1,2465,1,4,110,5,3.15,3.58,9,101,5800,24,28,12945
39,1,1,2,2,1,1,96.5,169.1,66,51,2293,1,4,110,2,3.15,3.58,9.1,100,5500,25,31,10345
40,1,1,2,1,1,1,96.5,167.5,65.2,53.3,2289,1,4,110,1,3.15,3.58,9,86,5800,27,33,9095
41,1,1,4,3,1,1,96.5,157.1,63.9,58.3,2024,1,4,92,1,2.92,3.41,9.2,76,6000,30,34,7295
42,1,1,2,1,1,1,86.6,144.6,63.9,50.8,1819,1,4,92,1,2.91,3.41,9.2,76,6000,31,38,6855
42,1,1,2,1,1,1,93.7,150,64,52.6,1956,1,4,92,1,2.91,3.41,9.2,76,6000,30,34,7129
43,1,1,4,2,1,1,96.5,175.4,65.2,54.1,2304,1,4,110,1,3.15,3.58,9,86,5800,27,33,8845
44,1,1,2,2,1,1,94.5,155.9,63.6,52,1874,1,4,90,2,3.03,3.11,9.6,70,5400,38,43,8916.5
44,1,1,2,1,2,1,96,172.6,65.2,51.4,2734,1,4,119,7,3.43,3.23,9.2,90,5000,24,29,11048
45,1,1,4,2,1,1,94.5,155.9,63.6,52,1909,1,4,90,2,3.03,3.11,9.6,70,5400,38,43,8916.5
46,1,1,4,2,2,1,94.3,170.7,61.8,53.5,2337,1,4,111,2,3.31,3.23,8.5,78,4800,24,29,6785
47,1,1,4,2,2,1,113,199.6,69.6,52.8,4066,4,6,258,5,3.63,4.17,8.1,176,4750,15,19,35550
48,1,1,4,2,2,1,113,199.6,69.6,52.8,4066,4,6,258,5,3.63,4.17,8.1,176,4750,15,19,32250
49,1,1,2,2,2,1,102,191.7,70.6,47.8,3950,5,12,326,5,3.54,2.76,11.5,262,5000,13,17,36000
50,1,1,2,1,1,1,98.8,177.8,66.5,53.7,2385,1,4,122,2,3.39,3.39,8.6,84,4800,26,32,8845
50,1,1,2,1,2,1,95.3,169,65.7,49.6,2380,6,2,70,6,3.33,3.255,9.4,101,6000,17,23,10945
50,1,1,4,1,1,1,98.8,177.8,66.5,55.5,2425,1,4,122,2,3.39,3.39,8.6,84,4800,26,32,11245
51,1,1,2,1,2,1,95.3,169,65.7,49.6,2380,6,2,70,6,3.33,3.255,9.4,101,6000,17,23,11845
51,1,1,4,2,2,1,104.9,175,66.1,54.4,2670,1,4,140,5,3.76,3.16,8,120,5000,19,27,18280
52,1,1,2,1,2,1,95.3,169,65.7,49.6,2500,6,2,80,5,3.33,3.255,9.4,135,6000,16,23,15645
53,1,1,2,1,1,1,98.8,177.8,66.5,53.7,2385,1,4,122,2,3.39,3.39,8.6,84,4800,26,32,10595
54,1,1,4,2,1,1,98.8,177.8,66.5,55.5,2410,1,4,122,2,3.39,3.39,8.6,84,4800,26,32,8495
55,1,1,2,1,1,1,93.1,159.1,64.2,54.1,1900,1,4,91,2,3.03,3.15,9,68,5000,31,38,6095
55,1,1,4,2,1,1,93.1,166.8,64.2,54.1,1950,1,4,91,2,3.08,3.15,9,68,5000,31,38,7395
55,2,1,4,2,1,1,98.8,177.8,66.5,55.5,2443,1,4,122,3,3.39,3.39,22.7,64,4650,36,42,10795
56,1,1,2,1,1,1,93.1,159.1,64.2,54.1,1905,1,4,91,2,3.03,3.15,9,68,5000,31,38,6795
57,1,1,2,1,1,1,93.1,159.1,64.2,54.1,1890,1,4,91,2,3.03,3.15,9,68,5000,30,31,5195
58,1,1,4,2,1,1,93.1,166.8,64.2,54.1,1945,1,4,91,2,3.03,3.15,9,68,5000,31,38,6695
58,1,1,4,2,1,1,98.8,177.8,66.5,55.5,2410,1,4,122,2,3.39,3.39,8.6,84,4800,26,32,10245
59,1,1,2,1,2,1,95.3,169,65.7,49.6,2385,6,2,70,6,3.33,3.255,9.4,101,6000,17,23,13645
59,2,1,4,2,2,1,104.9,175,66.1,54.4,2700,1,4,134,3,3.43,3.64,22,72,4200,31,39,18344
60,1,2,2,1,2,1,102.7,178.4,68,54.8,2910,1,4,140,5,3.78,3.12,8,175,5000,19,24,16503
61,1,2,2,1,1,1,93,157.3,63.8,50.8,2145,1,4,98,4,3.03,3.39,7.6,102,5500,24,30,7689
61,1,1,2,1,1,1,96.3,173,65.4,49.4,2328,1,4,122,2,3.35,3.46,8.5,88,5000,25,32,8499
61,1,2,2,1,1,1,95.9,173.2,66.3,50.2,2921,1,4,156,4,3.59,3.86,7,145,5000,19,24,14869
62,1,1,2,1,1,1,93.7,157.3,64.4,50.8,1944,1,4,92,2,2.97,3.23,9.4,68,5500,31,38,6189
63,1,1,2,1,1,1,93.7,157.3,64.4,50.8,1918,1,4,92,2,2.97,3.23,9.4,68,5500,37,41,5389
64,1,1,4,2,1,1,96.3,172.4,65.4,51.6,2403,1,4,110,4,3.17,3.46,7.5,116,5500,23,30,9279
64,1,2,2,1,1,1,96.3,173,65.4,49.4,2370,1,4,110,4,3.17,3.46,7.5,116,5500,23,30,9959
64,1,2,2,1,1,1,95.9,173.2,66.3,50.2,2926,1,4,156,4,3.59,3.86,7,145,5000,19,24,14489
65,1,1,4,2,1,1,96.3,172.4,65.4,51.6,2365,1,4,122,2,3.35,3.46,8.5,88,5000,25,32,6989
66,1,1,2,1,1,1,93.7,157.3,64.4,50.8,2004,1,4,92,2,2.97,3.23,9.4,68,5500,31,38,6669
66,1,2,4,2,1,1,96.3,172.4,65.4,51.6,2403,1,4,110,4,3.17,3.46,7.5,116,5500,23,30,9279
66,1,2,2,1,1,1,95.9,173.2,66.3,50.2,2833,1,4,156,4,3.58,3.86,7,145,5000,19,24,12629
67,1,1,4,2,1,1,96.3,172.4,65.4,51.6,2405,1,4,122,2,3.35,3.46,8.5,88,5000,25,32,8189
68,1,1,2,4,1,1,95.1,162.4,63.8,53.3,2008,1,4,97,2,3.15,3.29,9.4,69,5200,31,37,8249
68,1,1,2,1,2,1,99.2,178.5,67.9,49.7,3139,5,6,181,5,3.43,3.27,9,160,5200,19,25,18399
69,1,1,4,2,1,1,100.4,181.7,66.5,55.1,3095,5,6,181,5,3.43,3.27,9,152,5200,17,22,13499
70,1,1,4,3,1,1,100.4,184.6,66.5,56.1,3296,5,6,181,5,3.43,3.27,9,152,5200,17,22,14399
71,2,1,2,2,1,1,94.5,165.3,63.8,54.5,2017,1,4,103,3,2.99,3.47,21.9,55,4800,45,50,7099
72,1,1,2,1,1,1,94.5,165.6,63.8,53.3,2028,1,4,97,2,3.15,3.29,9.4,69,5200,31,37,7799
73,1,2,2,1,2,1,91.3,170.7,67.9,49.7,3139,5,6,181,5,3.43,3.27,7.8,200,5200,17,23,19699
74,1,1,4,2,1,1,94.5,165.3,63.8,54.5,1938,1,4,97,2,3.15,3.29,9.4,69,5200,31,37,6849
74,1,1,4,2,1,1,94.5,165.3,63.8,54.5,1971,1,4,97,2,3.15,3.29,9.4,69,5200,31,37,7499
75,1,1,2,2,1,1,94.5,165.3,63.8,54.5,1951,1,4,97,2,3.15,3.29,9.4,69,5200,31,37,7299
76,1,1,4,3,1,1,94.5,170.2,63.8,53.5,2037,1,4,97,2,3.15,3.29,9.4,69,5200,31,37,7999
77,1,1,4,2,1,1,97.2,173.4,65.2,54.7,2302,1,4,120,2,3.33,3.47,8.5,97,5200,27,34,9549
78,1,1,4,2,1,1,100.4,184.6,66.5,55.1,3060,5,6,181,5,3.43,3.27,9,152,5200,19,25,13499
79,1,1,2,2,1,1,94.5,165.3,63.8,54.5,1918,1,4,97,2,3.15,3.29,9.4,69,5200,31,37,6649
79,1,1,4,1,1,1,97.2,173.4,65.2,54.7,2324,1,4,120,2,3.33,3.47,8.5,97,5200,27,34,8949
80,1,1,2,1,2,1,91.3,170.7,67.9,49.7,3071,5,6,181,5,3.43,3.27,9,160,5200,19,25,17199
81,1,1,4,3,1,1,94.5,170.2,63.8,53.5,2024,1,4,97,2,3.15,3.29,9.4,69,5200,31,37,7349
82,1,1,2,2,1,1,94.5,165.3,63.8,54.5,1889,1,4,97,2,3.15,3.29,9.4,69,5200,31,37,5499
83,2,2,4,2,2,1,107.9,186.7,68.4,56.7,3197,3,4,152,3,3.7,3.52,21,95,4150,28,33,13200
84,1,1,4,2,2,1,107.9,186.7,68.4,56.7,3020,3,4,120,5,3.46,3.19,8.4,97,5000,19,24,11900
84,2,2,4,3,2,1,114.2,198.9,68.4,58.7,3430,3,4,152,3,3.7,3.52,21,95,4150,25,25,13860
84,1,1,4,2,2,1,107.9,186.7,68.4,56.7,3075,3,4,120,5,3.46,2.19,8.4,95,5000,19,24,15580
84,1,1,4,2,2,1,107.9,186.7,68.4,56.7,3075,3,4,120,5,3.46,3.19,8.4,97,5000,19,24,16630
84,1,1,4,3,2,1,114.2,198.9,68.4,56.7,3285,3,4,120,5,3.46,2.19,8.4,95,5000,19,24,16695
84,2,2,4,2,2,1,107.9,186.7,68.4,56.7,3252,3,4,152,3,3.7,3.52,21,95,4150,28,33,17950
85,1,1,4,3,2,1,114.2,198.9,68.4,58.7,3230,3,4,120,5,3.46,3.19,8.4,97,5000,19,24,12440
86,2,2,4,3,2,1,114.2,198.9,68.4,58.7,3485,3,4,152,3,3.7,3.52,21,95,4150,25,25,17075
